"CountyID","CountyName","ReferralYear","Rate","LabelLongitude","LabelLatitude","RateRank"
1,"Adair",2007,1.61,-94.6641458915974,35.9069668367649,150
2,"Alfalfa",2007,1.36,-98.32320857933,36.7309255630188,126.5
3,"Atoka",2007,1.41,-96.0420499703509,34.3809870625568,133
4,"Beaver",2007,0,-100.474745176143,36.7458468405142,29
5,"Beckham",2007,1.56,-99.686661710574,35.2696357540839,147
6,"Blaine",2007,4.07,-98.4243959224942,35.8688113906142,391.5
7,"Bryan",2007,2.14,-96.2558008293072,33.9616831096468,233
8,"Caddo",2007,1.55,-98.3718783669626,35.177793720151,145
9,"Canadian",2007,2.6,-97.9753768794938,35.5340567548489,275.5
10,"Carter",2007,5.66,-97.2729492125733,34.2546712262712,435
11,"Cherokee",2007,3.31,-95.0103824561735,35.9355360744063,348.5
12,"Choctaw",2007,4.85,-95.5473573813567,34.0538123875066,419
13,"Cimarron",2007,0,-102.512063683289,36.7373650133402,29
14,"Cleveland",2007,2.53,-97.3299363042633,35.2012061949784,273
15,"Coal",2007,3.41,-96.2861224539074,34.5953455038142,358.5
16,"Comanche",2007,1.82,-98.4691943985634,34.6655369286933,180
17,"Cotton",2007,9.35,-98.368786919333,34.2918378918678,460
18,"Craig",2007,1.77,-95.2160886407782,36.7853186104569,176.5
19,"Creek",2007,2.65,-96.3651747616148,35.8984115595445,286.5
20,"Custer",2007,2.8,-98.9947255933091,35.6355925726426,307.5
21,"Delaware",2007,1.5,-94.8114064665649,36.4330750413896,139.5
22,"Dewey",2007,5.88,-99.0026276338638,35.9860641060811,442
23,"Ellis",2007,0,-99.7541920843861,36.2085544939542,29
24,"Garfield",2007,1.9,-97.7785191348422,36.3678657387894,190
25,"Garvin",2007,2.12,-97.3023768608149,34.7103145563251,229.5
26,"Grady",2007,2.42,-97.8800824410339,35.0140335742845,262
27,"Grant",2007,3.34,-97.7845052708135,36.7906959570334,354.5
28,"Greer",2007,5.99,-99.5593444200064,34.9427664878966,446
29,"Harmon",2007,0,-99.8462629867067,34.7474029014696,29
30,"Harper",2007,0,-99.6718629310338,36.7775045477641,29
31,"Haskell",2007,2.03,-95.1194074966018,35.2553093637869,209
32,"Hughes",2007,3.36,-96.2384521145052,35.0526183366767,356.5
33,"Jackson",2007,2.21,-99.4153765114804,34.5917941766762,243.5
34,"Jefferson",2007,1.68,-97.8233420069576,34.1110896977992,161
35,"Johnston",2007,2.11,-96.6493986247792,34.3187259845145,227
36,"Kay",2007,0.9,-97.1487308209393,36.8197603838225,93
37,"Kingfisher",2007,0.55,-97.9367093480735,35.934131116842,71
38,"Kiowa",2007,0.98,-98.9722460102744,34.9187670789366,94.5
39,"Latimer",2007,2.1,-95.2557710119632,34.9067885471894,221.5
40,"Le Flore",2007,0.69,-94.7111774971803,34.9299511687652,78
41,"Lincoln",2007,2.97,-96.8794645451841,35.69193772589,323.5
42,"Logan",2007,0.37,-97.4379547025155,35.9055803786812,65
43,"Love",2007,1.05,-97.2337960481928,34.0006399600389,103
44,"McClain",2007,2.23,-98.524560069483,36.3106916876361,249
45,"McCurtain",2007,2.28,-96.7563551232226,34.0264118585759,251
46,"McIntosh",2007,4.65,-95.2377239906663,36.3337424158728,410.5
47,"Major",2007,4.42,-97.4331745941108,35.0031201393918,405
48,"Marshall",2007,2.73,-94.7840344331028,34.1452341840507,298.5
49,"Mayes",2007,2.67,-95.6644800921539,35.398840067242,292.5
50,"Murray",2007,3,-97.0572913816591,34.4888457946869,327.5
51,"Muskogee",2007,2.62,-95.3855658011359,35.6427027662025,279.5
52,"Noble",2007,4.41,-97.2279763724569,36.3855065817112,404
53,"Nowata",2007,1.76,-95.6260913238725,36.8198423472456,173
54,"Okfuskee",2007,3.59,-96.3097295106855,35.4641810903221,370
55,"Oklahoma",2007,2.94,-97.4049770992058,35.5394523331614,320.5
56,"Okmulgee",2007,4.06,-95.9607718994239,35.6570209142237,389
57,"Osage",2007,2.24,-96.4045798127983,36.634052844886,250
58,"Ottawa",2007,2.14,-94.8180540321859,36.8552992868479,233
59,"Pawnee",2007,2.91,-96.6990049468818,36.3168088803122,317
60,"Payne",2007,1.95,-96.9751478239377,36.0693458141458,199
61,"Pittsburg",2007,2.73,-95.7439797251411,34.9488015969789,298.5
62,"Pontotoc",2007,5.13,-96.674562329413,34.7307576005793,426
63,"Pottawatomie",2007,1.67,-96.9445206954569,35.3015638806384,158.5
64,"Pushmataha",2007,3.5,-95.3842741209906,34.4497873058268,366
65,"Roger Mills",2007,0,-99.6999273109391,35.6831343827393,29
66,"Rogers",2007,2.49,-95.6121330018314,36.3979046759883,268
67,"Seminole",2007,5.37,-96.6001413613621,35.1681506005071,430
68,"Sequoyah",2007,0.54,-94.760490800755,35.5205440172208,68.5
69,"Stephens",2007,2.49,-97.8463715950095,34.4843230918468,268
70,"Texas",2007,1.01,-101.477803361668,36.7450721534074,97
71,"Tillman",2007,0,-98.921205231615,34.3753490926514,29
72,"Tulsa",2007,2.94,-95.9428049690609,36.1338366907781,320.5
73,"Wagoner",2007,2.69,-95.5384179113774,35.9858739766272,295.5
74,"Washington",2007,3.75,-95.9132782566878,36.7270298442834,380
75,"Washita",2007,1.19,-98.9917075036666,35.2907305029854,115.5
76,"Woods",2007,3.69,-98.8729461327617,36.7708675261212,376
77,"Woodward",2007,2.74,-99.260005758032,36.416401211778,301.5
1,"Adair",2008,2.69,-94.6641458915974,35.9069668367649,295.5
2,"Alfalfa",2008,0,-98.32320857933,36.7309255630188,29
3,"Atoka",2008,1.06,-96.0420499703509,34.3809870625568,105
4,"Beaver",2008,0,-100.474745176143,36.7458468405142,29
5,"Beckham",2008,1.17,-99.686661710574,35.2696357540839,113
6,"Blaine",2008,2.44,-98.4243959224942,35.8688113906142,264.5
7,"Bryan",2008,0.71,-96.2558008293072,33.9616831096468,82
8,"Caddo",2008,6.82,-98.3718783669626,35.177793720151,453
9,"Canadian",2008,1.93,-97.9753768794938,35.5340567548489,195.5
10,"Carter",2008,3.44,-97.2729492125733,34.2546712262712,361
11,"Cherokee",2008,1.74,-95.0103824561735,35.9355360744063,168.5
12,"Choctaw",2008,2.08,-95.5473573813567,34.0538123875066,214
13,"Cimarron",2008,0,-102.512063683289,36.7373650133402,29
